 População Residente - Ceará
População residente por Faixa Etária detalhada e Sexo
Período:1980
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";88873;86453;175326
"1 ano";79381;79031;158412
"2 anos";80559;79316;159875
"3 anos";77601;76736;154337
"4 anos";75872;74832;150704
"5 anos";76902;74447;151349
"6 anos";76032;74109;150141
"7 anos";73431;72655;146086
"8 anos";71708;70842;142550
"9 anos";67720;67568;135288
"10 anos";77089;75828;152917
"11 anos";70668;69666;140334
"12 anos";72229;72790;145019
"13 anos";69264;71643;140907
"14 anos";70252;71183;141435
"15 anos";69209;73426;142635
"16 anos";68979;72415;141394
"17 anos";64963;67176;132139
"18 anos";60947;61358;122305
"19 anos";49068;53523;102591
"20 a 24 anos";204383;236705;441088
"25 a 29 anos";160928;186911;347839
"30 a 34 anos";142644;161173;303817
"35 a 39 anos";118589;133836;252425
"40 a 44 anos";110954;123987;234941
"45 a 49 anos";82244;94127;176371
"50 a 54 anos";81195;89240;170435
"55 a 59 anos";67643;69497;137140
"60 a 64 anos";47368;50739;98107
"65 a 69 anos";44908;46521;91429
"70 a 74 anos";31807;32492;64299
"75 a 79 anos";21956;23316;45272
"80 anos e mais";15347;18869;34216
"Idade ignorada";2537;2769;5306
"Total";2573250;2715179;5288429
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
