POPULAÇÃO RESIDENTE - CEARÁ
População residente por Sexo segundo Faixa Etária detalhada
Período: 2010
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";64172;61863;126035
"1 ano";63382;61406;124788
"2 anos";66033;63059;129092
"3 anos";66779;63855;130634
"4 anos";68328;65823;134151
"5 anos";68497;66331;134828
"6 anos";66723;64547;131270
"7 anos";69590;67160;136750
"8 anos";73635;70319;143954
"9 anos";76177;73264;149441
"10 anos";86700;81507;168207
"11 anos";81520;78097;159617
"12 anos";85762;83084;168846
"13 anos";86365;84566;170931
"14 anos";90807;88899;179706
"15 anos";92477;91424;183901
"16 anos";85567;84317;169884
"17 anos";86507;85341;171848
"18 anos";86323;85078;171401
"19 anos";74592;75215;149807
"20 a 24 anos";406534;416303;822837
"25 a 29 anos";364393;378499;742892
"30 a 34 anos";319976;337965;657941
"35 a 39 anos";277797;298631;576428
"40 a 44 anos";258829;282318;541147
"45 a 49 anos";228511;250729;479240
"50 a 54 anos";173702;200514;374216
"55 a 59 anos";143692;169422;313114
"60 a 64 anos";123545;144374;267919
"65 a 69 anos";93990;111093;205083
"70 a 74 anos";75849;95031;170880
"75 a 79 anos";48627;63394;112021
"80 anos e mais";64707;88865;153572
"Total";4120088;4332293;8452381
&
Fontes:
1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
1996: IBGE - Contagem Populacional
1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
Para alguns anos, os dados aqui apresentados não são comparáveis com as estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais. Veja a nota técnica para detalhes da metodologia.
Consulte o site da Secretaria Estadual de Saúde para mais informações.
Legenda:
