 População Residente - Rio Grande do Sul
População residente por Faixa Etária detalhada e Sexo
Período:2000
"Faixa Etária detalhada";"Masculino";"Feminino";"Total"
"Menor 1 ano";87342;84028;171370
"1 ano";86691;82951;169642
"2 anos";85780;82717;168497
"3 anos";87447;84630;172077
"4 anos";88645;85313;173958
"5 anos";94317;90323;184640
"6 anos";90214;87149;177363
"7 anos";88402;85441;173843
"8 anos";87356;84337;171693
"9 anos";91297;88267;179564
"10 anos";91825;88647;180472
"11 anos";93254;89530;182784
"12 anos";93027;90038;183065
"13 anos";90823;87659;178482
"14 anos";95321;91956;187277
"15 anos";94432;90982;185414
"16 anos";96480;93926;190406
"17 anos";101870;98986;200856
"18 anos";103167;99678;202845
"19 anos";94450;92467;186917
"20 a 24 anos";430584;425617;856201
"25 a 29 anos";382084;385613;767697
"30 a 34 anos";385037;399452;784489
"35 a 39 anos";397068;416749;813817
"40 a 44 anos";358269;375372;733641
"45 a 49 anos";304887;322803;627690
"50 a 54 anos";250230;266468;516698
"55 a 59 anos";190359;210557;400916
"60 a 64 anos";153901;178496;332397
"65 a 69 anos";119276;150460;269736
"70 a 74 anos";85905;118850;204755
"75 a 79 anos";51275;79381;130656
"80 anos e mais";43704;84236;127940
"Total";4994719;5193079;10187798
 Fontes:
 
 1980, 1991, 2000 e 2010: IBGE - Censos Demográficos
 1996: IBGE - Contagem Populacional
 1981-1990, 1992-1999, 2001-2006: IBGE - Estimativas preliminares para os anos intercensitários dos totais populacionais, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 2007-2009: IBGE - Estimativas elaboradas no âmbito do Projeto UNFPA/IBGE (BRA/4/P31A) - População e Desenvolvimento. Coordenação de População e Indicadores Sociais.
 2011-2012: IBGE - Estimativas populacionais enviadas para o TCU, estratificadas por idade e sexo pelo MS/SGEP/Datasus.
 
 Para alguns anos, os dados aqui apresentados não são comparáveis com as
 
 estimativas populacionais fornecidas ao TCU, devido a diferenças metodológicas para estimar e projetar os contingentes populacionais.
 Veja a nota técnica para detalhes da metodologia.
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
