 Mortalidade - Minas Gerais
Óbitos p/Residênc por Faixa Etária e Sexo
Período:1980
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";11553;8956;46;20555
"1 a 4 anos";1976;1929;2;3907
"5 a 9 anos";614;499;4;1117
"10 a 14 anos";579;386;1;966
"15 a 19 anos";1066;583;2;1651
"20 a 29 anos";3122;1595;3;4720
"30 a 39 anos";3591;2116;7;5714
"40 a 49 anos";4866;2962;12;7840
"50 a 59 anos";6088;3736;6;9830
"60 a 69 anos";7606;5516;15;13137
"70 a 79 anos";7981;7067;9;15057
"80 anos e mais";4070;5063;2;9135
"Idade ignorada";577;380;14;971
"Total";53689;40788;123;94600
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
