 Óbitos por Causas Externas - Bahia
Óbitos p/Residênc por Faixa Etária e Sexo
Período:1980
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";41;34;-;75
"1 a 4 anos";107;71;-;178
"5 a 9 anos";120;61;-;181
"10 a 14 anos";123;66;-;189
"15 a 19 anos";246;70;-;316
"20 a 29 anos";627;121;1;749
"30 a 39 anos";421;94;-;515
"40 a 49 anos";290;80;1;371
"50 a 59 anos";173;39;-;212
"60 a 69 anos";113;41;-;154
"70 a 79 anos";83;44;-;127
"80 anos e mais";28;29;-;57
"Idade ignorada";101;35;14;150
"Total";2473;785;16;3274
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
