 Mortalidade - Bahia
Óbitos p/Residênc por Faixa Etária e Sexo
Período:1980
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";7289;5957;197;13443
"1 a 4 anos";1822;1729;5;3556
"5 a 9 anos";444;290;2;736
"10 a 14 anos";338;245;3;586
"15 a 19 anos";480;319;3;802
"20 a 29 anos";1259;728;2;1989
"30 a 39 anos";1379;938;3;2320
"40 a 49 anos";1696;1168;4;2868
"50 a 59 anos";2215;1421;5;3641
"60 a 69 anos";2615;1910;5;4530
"70 a 79 anos";3191;2784;10;5985
"80 anos e mais";1734;2321;5;4060
"Idade ignorada";722;498;39;1259
"Total";25184;20308;283;45775
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
